ssn_org,ssn_org_cln
0017443.54,INVALID
005-32206,00532206
082-982,INVALID
0046.37,INVALID
002-03-0162,002030162
0c0897113.1,INVALID
004-25-4466,004254466
0075317.97,INVALID
004.262069,INVALID
004-45-6238,004456238
00-5147849,005147849
0.096238,INVALID
007-04-3912,007043912
0055960-05,005596005
00.6070168,006070168
00108870.8,INVALID
007-06-3753,007063753
003-831644,003831644
005675829,005675829
00333723.7,INVALID
002228272,002228272
009-49-7788,009497788
008-155466,008155466
001336632,001336632
06-4520,INVALID
007037.9,INVALID
00.2070,INVALID
00.6298895,006298895
006-60-6287,006606287
0b0-568883z4E,INVALID
008649383,008649383
007-04-2299,007042299
0016-26889,001626889
00780-5446,007805446
004-54-9668,004549668
004751296,004751296
007-30-7628,007307628
00917612-5,009176125
0-06H015j111,INVALID
009587130,009587130
008311595,008311595
00-44826,INVALID
002-24-6302,002246302
009121985,009121985
0010.58992,001058992
00.8234854,008234854
00121628.2,001216282
008376380,008376380
00.7207519,007207519
h0-02626203,002626203
006576664,006576664
006-04-7697,006047697
003855171,003855171
002.107767,002107767
0L0377e89.24C,INVALID
0029263.91,2926391
00498926-2,004989262
0055-938,0055938
002461092,002461092
085446.42,INVALID
001.928,INVALID
00CQz1-834644,INVALID
00562-382,00562382
0.06266672,INVALID
01482-7,INVALID
006240453,006240453
006-49-2725,006492725
05-42193,0542193
p003979902-b,INVALID
001419169,001419169
01357.30,INVALID
005-86-5906,005865906
007-452730,007452730
005778.844,005778844
0033468-6,00334686
0-05046492,005046492
00-9762,INVALID
00838z.98i65,INVALID
009064-068,009064068
008949.891,008949891
00z69-42V0F20,INVALID
0j03I8067.57,INVALID
006266290,006266290
002.3p8A1304,INVALID
008.651331,008651331
a0w0K64845.17,INVALID
M0.06243938,006243938
01739.4,INVALID
001164-988,001164988
003501378,003501378
0640684.2,06406842
00lu733W35-39,INVALID
00.2P84X4799,INVALID
0.06760867,INVALID
0-05241205,005241205
00922-5792,009225792
008-19-4054,008194054
003341953,003341953
0002-80,INVALID
003-96-0568,003960568
0024.72763,002472763
0029392.55,INVALID
005-040672,005040672
00952.8295,009528295
00448-6605,004486605
008-59-6661,008596661
K0n071.44803h,INVALID
0.09476753,INVALID
0057651-70,005765170
0022.81360,002281360
002-98-8460,002988460
005-24-4486,005244486
004-06-3498,004063498
9.10281,INVALID
008882882,008882882
00382-5180,003825180
003-47-0052,003470052
006692-7,0066927
00921.3769,009213769
0189-366,INVALID
0-04753,INVALID
00949.7788,009497788
004-04-7748,004047748
s0090-R21684,INVALID
0093101.76,INVALID
00-574025,00574025
0-0751126,00751126
0-090640j68,INVALID
008-59-8241,008598241
008095.098,008095098
00-4035879,004035879
0077-66876,007766876
006-63-4583,006634583
005-71-1566,005711566
005-23-0053,005230053
00855-396,00855396
002686.384,002686384
002-64-1578,002641578
00.476995sE5,INVALID
00733.72,INVALID
009-251911,009251911
004627107,004627107
0037-22086,003722086
00676086.7,INVALID
002-830637,002830637
006-80963,00680963
002877-4,0028774
00528-7944,005287944
006-20-7256,006207256
0079770.87,007977087
0.012057,INVALID
00121M748.4,INVALID
005828603,005828603
009-32-7619,009327619
0052395-28,005239528
0057685.75,INVALID
002-04-2416,002042416
00273062.3,INVALID
0042.44947,004244947
009M93.55DI01,INVALID
0033615.50,INVALID
0J-0n7R390502,INVALID
00.41199,INVALID
00996.70,INVALID
0053507.76,INVALID
001-81-5741,001815741
004-27-7331,004277331
008592998,008592998
007502392,007502392
0.0543006,INVALID
004419815,004419815
0053046.20,005304620
002-486665,002486665
00226494.0,INVALID
009689719,009689719
V0vt0264469-8,INVALID
00734.3200,007343200
003-62-7927,003627927
007593251,007593251
001-48-2721,001482721
009144.376,009144376
06717-7,INVALID
00270649.4,INVALID
00.8613201,008613201
dO008L535-289,INVALID
004-41-2975,004412975
aX-008796298,INVALID
86.6238,INVALID
009-21-3403,009213403
002413602,002413602
00388886-6,003888866
0-06221188,006221188
FL00283.7828,INVALID
0951674.6,INVALID
0.02747681,INVALID
001-39I0230,001390230
07497.73,INVALID
005913044,005913044
0.13233,INVALID
0075457-74,007545774
00.W622T55R25,INVALID
008334292,008334292
00430O6-622,0043006622
006-43-1479,006431479
007-68-9618,007689618
00695-6900,006956900
00.7661989,007661989
008-869813,008869813
004-76-7603,004767603
006-99-1407,006991407
00777600-0,007776000
0069-71912,006971912
005-84-0683,005840683
004-23-5922,004235922
09-522895,09522895
00-5940768,005940768
008-26-2027,008262027
002609472,002609472
00919239.3,INVALID
007100659,007100659
006-65-7230,006657230
0.05449,INVALID
007535564,007535564
00-7757,INVALID
007-24-5438,007245438
001058992,001058992
009508954,009508954
005621228,005621228
001640.980,001640980
01-4576,INVALID
006-78-2160,006782160
0.01760227,INVALID
007-058654,007058654
001.016983,001016983
006649-920,006649920
0011-07932,001107932
005688328,005688328
0-0915D5269,009155269
00948.81,INVALID
008-52-0058,008520058
007179.562,007179562
00.584516UI2X,INVALID
004853583R.E,INVALID
008-992443,008992443
0-04210252,004210252
004996d1-42,004996142
005-06-4671,005064671
007452730,007452730
0f02.382272,INVALID
008282-039,008282039
0.02641982,INVALID
00589287.4,INVALID
007236121,007236121
004709-536,004709536
096882-3,0968823
g004-6y18473,INVALID
0Y0Nf683.7199,INVALID
008-17-5207,008175207
0.0G9J0293l83,INVALID
005-56-2743,005562743
006P0U-m30818,INVALID
88-6983,INVALID
006-383252,006383252
003527397,003527397
00.2828143,INVALID
002198108,002198108
005750.897,005750897
00660-5279,006605279
00210-858,00210858
0.07277,INVALID
0.01058992,INVALID
003381308,003381308
0074.61696,INVALID
007-714309,007714309
006-05-3879,006053879
001-06-5977,001065977
004-31-8182,004318182
00665825.6,INVALID
001-68-3806,001683806
00761p66.46,007616646
0.04959851,INVALID
0382.86,INVALID
00423678.0,INVALID
006865403,006865403
0089.0Z627c6,INVALID
0H06-652792,0H06652792
00278.0846,002780846
008-68-0815,008680815
01.00816,INVALID
007-72-7823,007727823
003-99-2604,003992604
001893519,001893519
0E0V75K-03363,INVALID
001-26-2198,001262198
0056-88178,005688178
007-67-5466,007675466
00167-82,0016782
0-226323,0226323
A00R33-43334,INVALID
006392.12,INVALID
0700598-4,07005984
00313127.8,INVALID
0098.54734,009854734
00.822785,00822785
005151134,005151134
006445755,006445755
007529.21,00752921
0030.60238,003060238
00.5656752,INVALID
006-9939,0069939
0.047746M80,INVALID
006633978,006633978
0081.5zu7950,INVALID
0L054031U1l-0,INVALID
009928-277,009928277
002-44-1561,002441561
003865988,003865988
0.0587343,INVALID
0-07888720,007888720
002250207,002250207
008080924,008080924
00.3563502,003563502
00-2055591,002055591
006-447530,006447530
E00-494550iJ1,INVALID
00-6354267,006354267
0030838.74,INVALID
00769.0666,007690666
00E4-152s651,INVALID
0110-2994,01102994
003-46-8273,003468273
00.8225696,008225696
00910.7843,009107843
003421964,003421964
004034917,004034917
00.7004132,007004132
0.65286,INVALID
0072182-57,007218257
001120050,001120050
0g-X08906C276,INVALID
003-47-7661,003477661
0.03311717,INVALID
0.07244613,INVALID
001-30-1184,001301184
0-09491923,09491923
008733364,008733364
0057.97612,INVALID
0-0791163,00791163
00815044-6,008150446
HT001w2.56806,INVALID
005619648,005619648
003-52-3797,003523797
00-4960107,004960107
00-5316859,005316859
001277799,001277799
0.0438966F2,INVALID
008-51-6644,008516644
009508-954,009508954
002813038,002813038
0018.803,INVALID
0035.01,INVALID
00382997.4,INVALID
00.598145,INVALID
005470.242,005470242
002-67-1582,002671582
00852-8086,008528086
007-69-2145,007692145
00-7633350,007633350
0-0321159,00321159
042.0634,0420634
00224.4255,INVALID
00602x0.660,INVALID
005-64-3636,005643636
00339773-2,003397732
005664897,005664897
007-46-1711,007461711
0037-95965,003795965
008.190959,008190959
005230053,005230053
00648.9324,006489324
003-14-8146,003148146
009-03-4649,009034649
00-2829743,002829743
004847097,004847097
001385685,001385685
00592.01,INVALID
00.75V620N61q,INVALID
001-36-2480,001362480
00213-5418,002135418
005-30-0832,005300832
0.5647776,INVALID
0071.03479,007103479
00.599935,00599935
00-4486,INVALID
0090-90375,009090375
004-82-3580,004823580
008-63-8391,008638391
00.4343061,004343061
00-7088925,007088925
0067-78,INVALID
00177094-9,001770949
006e26-4802,INVALID
0167.126,INVALID
0-05161844,005161844
R003686.486,003686486
006-336579,006336579
0096.85354,009685354
008175593,008175593
00243337-2,002433372
0M03937-685,0M03937685
007-77-4213,007774213
0-09935714,009935714
007150707,007150707
009935-501,009935501
0059584.43,005958443
00m.9392270Z,INVALID
007950048,007950048
004491067,004491067
0.0H789N3530,INVALID
0-09969138,09969138
00-85810l17,0085810117
0045.708,INVALID
00-1975078,001975078
0.079316,INVALID
003-93-4159,003934159
00606.420,00606420
00m542u285-0,INVALID
005-47-0242,005470242
00519-4676,005194676
0034-179,0034179
005-13-7419,005137419
031126.4,INVALID
004-48-2368,004482368
001407685,001407685
005.579609,005579609
00720987.1,INVALID
002-57-5311,002575311
00741-4924,007414924
005-58-2070,005582070
0030.38141,003038141
007-38-1670,007381670
00-1286931,001286931
0.026N27Cn070,INVALID
005.936180,005936180
00-5662,INVALID
003-838793,003838793
003-38-7259,003387259
0035.172,INVALID
q005c-735A622,INVALID
006536032,006536032
004-21-0252,004210252
005-23-1365,005231365
0054887-00,005488700
002-65-1071,002651071
005823367,005823367
008-55-5722,008555722
00.55L10163No,INVALID
001.192096,001192096
004-20-3161,004203161
004042-32,00404232
0016-933,0016933
o.00l786W9068,INVALID
003-29-2852,003292852
00.9315490,009315490
005407434,005407434
005251642,005251642
X00805hZ.8069,INVALID
009-07-3128,009073128
007-66-4915,007664915
085-49144,08549144
004-80-1307,004801307
00w1548-3J61,INVALID
c0-04480H294f,INVALID
004-528225,004528225
0942.04,INVALID
00-2192670,002192670
003-862119,003862119
03-11384,INVALID
007916163,007916163
0.07965536,INVALID
0.08849668,INVALID
00515.9K459M,INVALID
004-37-7633,004377633
00262-9932,002629932
03732-7,03732327
006-11-8230,006118230
0043181-82,004318182
00.193310,00193310
009-12-1985,009121985
93107.6,INVALID
0.006597,INVALID
0-07338794,07338794
006813716,006813716
009707.774,009707774
w0.09442314,INVALID
007-24-1211,007241211
003351550,003351550
00612.52,INVALID
00688.3707,006883707
00133-906,00133906
008312-574,008312574
004080433,004080433
00.Y9Z557940X,INVALID
00179.88,INVALID
0-05715,INVALID
0074.67718,007467718
K0PK.01487614,01487614
0032448-15,003244815
Y004249.008,INVALID
0050.7460,00507460
003-21-9120,003219120
009-76-4557,009764557
005-24-0132,005240132
009577729,009577729
00676.3900,006763900
009-45-6687,009456687
006.43062L3,006430623
00289.6,INVALID
0-08603121,008603121
009921520,009921520
005961934,005961934
00513563.8,INVALID
006833515,006833515
00161-3735,001613735
008-36-3450,008363450
005-422850,005422850
007595918,007595918
0-0658253,00658253
00726-554Q2,INVALID
001-40-4484,001404484
004.993322,004993322
00829.64,INVALID
001818239,001818239
009-51-2534,009512534
002.37U4074,002374074
0065-15880,006515880
007930-00,00793000
0076-41989,007641989
005854482,005854482
0.01648,INVALID
058673-59,05867359
0097o649.83,INVALID
007529626,007529626
004-40-9709,004409709
007796486,007796486
004588351,004588351
003-06-1064,003061064
007-27-2301,007272301
00.2599140,002599140
007-04-3113,007043113
003-97-8249,003978249
007028-106,007028106
006063290,006063290
005-86-9516,005869516
001892-347Pc,INVALID
0085.81017,008581017
00.7100869,007100869
003797482,003797482
005-95-6047,005956047
0835-083,INVALID
001740991,001740991
008-45-8399,008458399
0-046974,0046974
004-18-2136,004182136
004-769595,004769595
006016499,006016499
i0033.0515C6,INVALID
002-02-9030,002029030
007374435,007374435
0052457.42,005245742
005622962,005622962
0.073116,INVALID
0091143.64,INVALID
005.4452,INVALID
00777.8628,007778628
0016533-83,001653383
002-19-2624,002192624
001-74-8975,001748975
0.01814299,INVALID
003-29-7280,003297280
0x-066q25z428,INVALID
0.04453111,INVALID
004391.640,004391640
004-38-3990,004383990
009-29-5091,009295091
006336579,006336579
003686486,003686486
07288.9,INVALID
00192907S-2,INVALID
008662736,008662736
004-906254,004906254
0025-38C768,INVALID
00-4741347,004741347
00-719586,00719586
008-40-3630,008403630
Ua00U10829-45,INVALID
0-09902615,009902615
009043.499s,INVALID
002-51-6271,002516271
003971-954,003971954
0029222-53,002922253
001163-19,00116319
001275991,001275991
00-5877257,005877257
009257-736,009257736
004-81-6091,004816091
00662-950,00662950
005-83-0610,005830610
00824246.7,INVALID
005-42-2850,005422850
0024232-88,002423288
007-86-7478,007867478
0051-0414,00510414
003118-939,003118939
0.01135598,INVALID
00.7835914,007835914
004571-833,004571833
000.9708,INVALID
L0c037-192h20,INVALID
006172652,006172652
003-669792,003669792
00d90q06-B933,INVALID
00.3781C457,003781457
0071840-74,007184074
0065-45434,006545434
002588455,002588455
006231503,006231503
00.98973k42v,INVALID
00927-01,INVALID
005009859,005009859
006-81-4956,006814956
004233244,004233244
0075-83,INVALID
00983.42,INVALID
005279472,005279472
005274263,005274263
54.8027,INVALID
007760861,007760861
M008.69b7X332,INVALID
Qe-0064310L19,INVALID
004155481,004155481
0029-19332,002919332
08-9767,INVALID
0047409-8,00474098
005115726,005115726
00915.81,INVALID
008-47-2395,008472395
007-32-2729,007322729
0021547.3,INVALID
0.03742327,INVALID
0.08598579,INVALID
007432985,007432985
0.216145,INVALID
005813812,005813812
002-94-6018,002946018
003521904,003521904
006986890,006986890
0.6678130,INVALID
002252.386u,INVALID
007365425,007365425
0-087543U53,INVALID
00381-7,INVALID
002.865913,002865913
005-37-9013,005379013
00788-p0484U,INVALID
001-16-6194,001166194
02.0364,INVALID
007825882,007825882
0-03485012,003485012
008-55931,00855931
004818182,004818182
p0-0q519h6452,INVALID
007140705,007140705
00672717-4,006727174
Q007387.645,INVALID
003204.647,003204647
004-08-8713,004088713
007241211,007241211
007166564,007166564
006.94357,00694357
00616.3041,006163041
0081-77071,008177071
00v6I983058-O,INVALID
0-02013176,02013176
006441615,006441615
0092902-27,009290227
0063-06432,006306432
00ad942405-1,INVALID
009105096,009105096
0-D017Y60227,INVALID
001.229,INVALID
0-7418570,07418570
006-41-1490,006411490
0050.70384,005070384
005-62-9382,005629382
0071-03479,007103479
005033370,005033370
024.232,INVALID
006-63-4317,006634317
003p79.0074,003790074
00208351.3,002083513
005004037,005004037
006-62-3196,006623196
00983197-1,009831971
005.92HI8996,005928996
00M.L8383B696,INVALID
00284.6313,002846313
009-63-5744,009635744
Z00I129750-m9,INVALID
0g0263.51j39,0263511539
006122234,006122234
004851-740,004851740
00172-2934,001722934
0.09010727,INVALID
006-58-7334,006587334
007999454,007999454
007-65-9040,007659040
0.036516,INVALID
001374722,001374722
007257382,007257382
009940155,009940155
0.0NU4965404Q,INVALID
00215-4434,002154434
007-80332,00780332
00-6793368,006793368
00-2661146,002661146
003-63-3596,003633596
0-09448376,009448376
0-04728256,004728256
001-50-6420,001506420
00172-7267,001727267
0025.09821,002509821
0095-05709,009505709
0051.26686,005126686
00-5115494,005115494
00161-3,INVALID
003-86-9579,003869579
0.08258003,INVALID
D0.0246v3150,INVALID
0-018262,0018262
001-38-2074,001382074
0o0584484-8,INVALID
002007743,002007743
009032625,009032625
001-80-6285,001806285
0091.00309,009100309
009310176,009310176
0.05188554,INVALID
001401782,001401782
1728.19,INVALID
0.08006208,INVALID
003483298,003483298
00536923-8,005369238
00455420-4,004554204
001507919,001507919
081-114,INVALID
007314941,007314941
0057-50737,005750737
0.0m7779177,7779177
002246239,002246239
